INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
47101168763-0,F,Alegrete,RS,1-Mestrado/Doutorado,1,Alegrete/RS,2018
47101175268-0,M,Tenente Portela,RS,1-Mestrado/Doutorado,1,Chapecó/SC,2018
47101148060-9,F,São Mateus,ES,1-Mestrado/Doutorado,1,São Carlos/SP,2018
47101173319-4,F,Rio Grande,RS,1-Mestrado/Doutorado,1,Pelotas/RS,2018
47101154778-8,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101176548-2,F,João Pessoa,PB,1-Mestrado/Doutorado,1,João Pessoa/PB,2018
47101172065-7,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101173959-0,M,arequipa,OU,1-Mestrado/Doutorado,1,Arequipa/Peru,2018
47101172975-0,M,Cascavel,CE,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101162352-5,M,Palmeira dos Índios,AL,1-Mestrado/Doutorado,1,Maceió/AL,2018
47101174875-6,M,Humaitá,RS,1-Mestrado/Doutorado,1,Santa Maria/RS,2018
47101146773-5,M,Oeiras,PI,1-Mestrado/Doutorado,1,São Luiz/MA,2018
47101152104-4,M,João Pessoa,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101146641-3,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101175154-5,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Goiânia/GO,2018
47101171554-9,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró/RN,2018
47101154187-2,M,Salvador,BA,1-Mestrado/Doutorado,1,Salvador/BA,2018
47101146035-1,M,Quixeramobim,CE,1-Mestrado/Doutorado,1,Quixadá/CE,2018
47101172927-0,M,Santarém,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101177128-3,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió/AL,2018
47101160690-7,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101171404-0,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró/RN,2018
47101173678-5,M,Pedro II,PI,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101169852-6,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101172807-6,M,São João Del Rei,MG,1-Mestrado/Doutorado,1,Lavras/MG,2018
47101154350-2,M,Osasco,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101174369-1,M,Olímpia,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101177060-9,M,Bandeirantes,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101168530-1,M,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá/CE,2018
47101171333-8,M,Mossoró,RN,1-Mestrado/Doutorado,1,Mossoró/RN,2018
47101161395-1,M,Itapiúna,CE,1-Mestrado/Doutorado,1,Quixadá/CE,2018
47101156798-7,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101175536-8,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101147708-4,F,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101150989-5,M,Marabá,PA,1-Mestrado/Doutorado,1,Marabá/PA,2018
47101174021-7,M,Engenheiro Paulo de Frontin,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101173243-1,M,Patos,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101162092-6,F,São Joaquim da Barra,SP,1-Mestrado/Doutorado,1,Ribeirão Preto/SP,2018
47101162610-4,M,Santiago,RS,1-Mestrado/Doutorado,1,Santa Maria/RS,2018
47101146234-6,M,Caxias,MA,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101175588-9,M,Araranguá,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101166688-7,M,Brasília,DF,1-Mestrado/Doutorado,1,Brasília/DF,2018
47101176384-0,M,Videira,SC,1-Mestrado/Doutorado,1,Chapecó/SC,2018
47101162718-1,M,Formiga,MG,1-Mestrado/Doutorado,1,Lavras/MG,2018
47101173995-3,M,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá/CE,2018
47101173918-8,M,Catanduva,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101175280-7,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101159956-8,M,Macapá,AP,1-Mestrado/Doutorado,1,Belém/PA,2018
47101151674-1,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora/MG,2018
47101149358-9,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101175361-8,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió/AL,2018
47101148894-1,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101176805-1,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas/RS,2018
47101176511-8,M,Paranavaí,PR,1-Mestrado/Doutorado,1,Maringá/PR,2018
47101150889-8,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101172815-4,M,São João Del Rei,MG,1-Mestrado/Doutorado,1,Lavras/MG,2018
47101160622-0,M,Lagoa Seca,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101174526-3,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101176902-9,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47101172109-5,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101160516-4,M,Aracaju,SE,1-Mestrado/Doutorado,1,Aracaju/SE,2018
47101155838-9,M,Marilândia,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47101173765-4,F,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101171600-5,M,Beberibe,CE,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101175026-3,M,Viçosa,MG,1-Mestrado/Doutorado,1,Viçosa/MG,2018
47101174344-5,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101172874-3,M,Itajubá,MG,1-Mestrado/Doutorado,1,Poços de Caldas/MG,2018
47101165621-1,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101174936-0,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101149411-3,M,Patos de Minas,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101176670-4,M,Pirapozinho,SP,1-Mestrado/Doutorado,1,Presidente Prudente/SP,2018
47101147037-8,M,Guarabira,PB,1-Mestrado/Doutorado,1,João Pessoa/PB,2018
47101147735-9,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101154295-8,M,Salvador,BA,1-Mestrado/Doutorado,1,Salvador/BA,2018
47101173328-2,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101170665-8,M,Silveira Martins,RS,1-Mestrado/Doutorado,1,Santa Maria/RS,2018
47101174732-6,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101148291-8,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101172759-0,M,Lavras,MG,1-Mestrado/Doutorado,1,Lavras/MG,2018
47101150973-7,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101146232-6,M,Presidente Prudente,SP,1-Mestrado/Doutorado,1,Presidente Prudente/SP,2018
47101148253-5,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47102174030-9,M,Dourados,MS,2-Autoavaliação,2,Ponta Porã/MS,2018
47102146914-4,F,Messias,AL,2-Autoavaliação,2,Maceió/AL,2018
47102172757-3,M,Rio Pomba,MG,2-Autoavaliação,2,Juiz de Fora/MG,2018
47101171911-5,M,Timon,MA,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101146348-1,F,Teresina,PI,1-Mestrado/Doutorado,1,Teresina/PI,2018
47102175701-1,F,Santos,SP,2-Autoavaliação,2,São Paulo/SP,2018
47102175085-6,F,Campo Grande,MS,2-Autoavaliação,2,Campo Grande/MS,2018
47101172699-5,F,Fortaleza,CE,1-Mestrado/Doutorado,1,Quixadá/CE,2018
47101154338-6,M,Castro,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101160104-7,F,Cornélio Procópio,PR,1-Mestrado/Doutorado,1,Londrina/PR,2018
47101165678-2,F,São Vicente,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101171729-9,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Goiânia/GO,2018
47101174139-2,F,João Pessoa,PB,1-Mestrado/Doutorado,1,João Pessoa/PB,2018
47101174578-4,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101165408-0,F,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora/MG,2018
47101146358-0,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101172573-1,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101158066-4,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101148904-5,M,Santa Maria,RS,1-Mestrado/Doutorado,1,Santa Maria/RS,2018
47101155832-9,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101175834-0,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos/SP,2018
47101158317-5,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101172176-2,F,Canoas,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101175061-6,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101147009-3,M,Salvador,BA,1-Mestrado/Doutorado,1,Salvador/BA,2018
47101169882-0,M,Santana da Boa Vista,RS,1-Mestrado/Doutorado,1,Alegrete/RS,2018
47101172658-2,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101164698-2,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas/RS,2018
47101172071-5,F,Cáceres,MT,1-Mestrado/Doutorado,1,Cuiabá/MT,2018
47101173937-4,F,Ponta Porã,MS,1-Mestrado/Doutorado,1,Ponta Porã/MS,2018
47101158458-5,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47101176515-8,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47101157424-4,M,Santa Adélia,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101147277-5,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47101160432-3,M,Parnamirim,RN,1-Mestrado/Doutorado,1,Natal/RN,2018
47101146382-4,M,Lages,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101171469-0,F,Palmas,TO,1-Mestrado/Doutorado,1,Palmas/TO,2018
47101173382-1,F,Dourados,MS,1-Mestrado/Doutorado,1,Ponta Porã/MS,2018
47101176225-4,F,Alfredo Marcondes,SP,1-Mestrado/Doutorado,1,Presidente Prudente/SP,2018
47101149147-6,F,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101174196-1,F,Jaraguá do Sul,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101146491-0,F,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande/MS,2018
47101161822-0,F,Ponta Grossa,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101147137-5,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101176760-3,F,Santa Bárbara D Oeste,SP,1-Mestrado/Doutorado,1,São Carlos/SP,2018
47102175072-8,F,Florianópolis,SC,2-Autoavaliação,2,Florianópolis/SC,2018
47101174064-0,F,Vitória da Conquista,BA,1-Mestrado/Doutorado,1,Vitória da Conquista/BA,2018
47101148525-2,M,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia/GO,2018
47101175147-7,M,São Raimundo das Mangabeiras,MA,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101174919-4,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos/SP,2018
47101148760-0,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101146536-8,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47102172244-9,M,Taquaruçu do Sul,RS,2-Autoavaliação,2,Chapecó/SC,2018
47101174517-5,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz/MA,2018
47102174432-8,M,Alegrete,RS,2-Autoavaliação,2,Alegrete/RS,2018
47101162251-8,M,Dourados,MS,1-Mestrado/Doutorado,1,Ponta Porã/MS,2018
47101162146-2,M,Araguari,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101172292-6,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos/SP,2018
47101160872-5,M,Viçosa,MG,1-Mestrado/Doutorado,1,Viçosa/MG,2018
47101173549-3,M,Curitiba,PR,1-Mestrado/Doutorado,1,Cascavel/PR,2018
47102176557-4,M,São Bernardo do Campo,SP,2-Autoavaliação,2,São Paulo/SP,2018
47101153775-1,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101176710-2,M,Rio Claro,SP,1-Mestrado/Doutorado,1,São Carlos/SP,2018
47101157060-8,M,Guarulhos,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101173688-3,M,Santana do Livramento,RS,1-Mestrado/Doutorado,1,Bagé/RS,2018
47101172977-0,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101149907-1,M,Rio Claro,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101147063-2,M,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia/GO,2018
47101164635-3,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101173623-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,Campo Grande/MS,2018
47102177302-5,M,Palmas,PR,2-Autoavaliação,2,Chapecó/SC,2018
47102147613-9,M,Vitória,ES,2-Autoavaliação,2,Vitória/ES,2018
47101171674-2,M,Cariacica,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47101176812-0,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Maringá/PR,2018
47101175025-3,M,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47101170500-1,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande/MS,2018
47101172643-4,M,Pinhais,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101161625-6,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101147578-7,M,São Miguel do Oeste,SC,1-Mestrado/Doutorado,1,Cascavel/PR,2018
47101148293-8,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora/MG,2018
47101153827-8,M,Belém,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101173942-2,M,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47101146119-2,M,São Bernardo do Campo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101175690-4,M,Alegrete,RS,1-Mestrado/Doutorado,1,Alegrete/RS,2018
47101171859-0,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101173877-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101149425-1,M,Caucaia,CE,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101174567-6,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101146886-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101173715-3,M,Rolândia,PR,1-Mestrado/Doutorado,1,Londrina/PR,2018
47101174326-9,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101155460-4,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101148867-7,M,Cambé,PR,1-Mestrado/Doutorado,1,Londrina/PR,2018
47101157665-1,M,Serra,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47101156106-0,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia/GO,2018
47101171380-9,M,Presidente Prudente,SP,1-Mestrado/Doutorado,1,Presidente Prudente/SP,2018
47101176740-7,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101173791-9,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101173966-9,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Cuiabá/MT,2018
47101146690-4,M,Linhares,ES,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47102174845-5,M,Congonhas,MG,2-Autoavaliação,2,Viçosa/MG,2018
47101174219-3,M,Novo Oriente,CE,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101156370-1,M,Santa Maria,RS,1-Mestrado/Doutorado,1,Santa Maria/RS,2018
47102177079-0,M,São Roque,SP,2-Autoavaliação,2,São Paulo/SP,2018
47101146238-6,M,Presidente Prudente,SP,1-Mestrado/Doutorado,1,Presidente Prudente/SP,2018
47102173731-3,M,Dourados,MS,2-Autoavaliação,2,Ponta Porã/MS,2018
47101171756-3,M,Belém,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101172859-7,M,Lima,PE,1-Mestrado/Doutorado,1,Lima/Peru,2018
47101175262-0,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101146387-4,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió/AL,2018
47101150511-9,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101173627-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101174684-0,M,Caieiras,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101149345-0,M,Santo André,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101147988-4,M,Americana,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101173159-2,M,Mogi Mirim,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101171252-7,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101175725-4,M,Santa Luzia,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47101173892-6,M,Alfenas,MG,1-Mestrado/Doutorado,1,Poços de Caldas/MG,2018
47101176316-3,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande/MS,2018
47101173890-6,M,São José,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101175253-2,M,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia/GO,2018
47101174656-5,F,Jandaia do Sul,PR,1-Mestrado/Doutorado,1,Maringá/PR,2018
47101176467-1,F,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47102175697-8,F,Porto Velho,RO,2-Autoavaliação,2,Porto Velho/RO,2018
47101174096-4,F,Barreiras,BA,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101147777-1,F,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101147482-8,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101175738-2,F,Jales,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101173527-7,F,Poá,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101173863-1,F,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101175800-5,F,Porto Velho,RO,1-Mestrado/Doutorado,1,Porto Velho/RO,2018
47101162281-2,F,Campinas,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101177291-8,F,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101147131-5,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101164231-4,F,Parauapebas,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101157207-3,F,Manaus,AM,1-Mestrado/Doutorado,1,Manaus/AM,2018
47102172323-0,F,Cotia,SP,2-Autoavaliação,2,São Paulo/SP,2018
47101160974-2,F,João Monlevade,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47101148900-5,F,Três Arroios,RS,1-Mestrado/Doutorado,1,Erechim/RS,2018
47101175693-4,M,Castanhal,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101159696-9,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101171780-8,M,Penedo,AL,1-Mestrado/Doutorado,1,Aracaju/SE,2018
47101147021-0,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101151004-0,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47101176265-7,M,Arequipa,OU,1-Mestrado/Doutorado,1,Arequipa/Peru,2018
47101172346-2,M,Agudos,SP,1-Mestrado/Doutorado,1,Bauru/SP,2018
47101171693-9,M,Paulínia,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101168085-6,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47101175294-5,M,Ponta Grossa,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101154467-8,M,Belém,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101172521-0,M,Mossoró,RN,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101168662-3,M,Maringá,PR,1-Mestrado/Doutorado,1,Maringá/PR,2018
47101150978-7,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória/ES,2018
47101166644-4,M,Cachoeirinha,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47102172604-5,M,Goiânia,GO,2-Autoavaliação,2,Goiânia/GO,2018
47101177319-0,M,Marau,RS,1-Mestrado/Doutorado,1,Erechim/RS,2018
47102172543-0,M,Viçosa,MG,2-Autoavaliação,2,Viçosa/MG,2018
47101148205-4,M,João Pessoa,PB,1-Mestrado/Doutorado,1,João Pessoa/PB,2018
47101174988-1,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz/MA,2018
47101174400-0,M,São João Del Rei,MG,1-Mestrado/Doutorado,1,Lavras/MG,2018
47101174891-2,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101159177-6,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande/MS,2018
47101173519-9,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz/MA,2018
47101173813-0,M,Russas,CE,1-Mestrado/Doutorado,1,Mossoró/RN,2018
47101170151-3,M,Jandaia do Sul,PR,1-Mestrado/Doutorado,1,Maringá/PR,2018
47101153376-2,M,Tamoios -Cabo Frio,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101146662-0,M,Alto Santo,CE,1-Mestrado/Doutorado,1,Fortaleza/CE,2018
47101170841-6,M,Recife,PE,1-Mestrado/Doutorado,1,Quixadá/CE,2018
47101162108-0,F,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101146667-0,F,Santa Maria,RS,1-Mestrado/Doutorado,1,Santa Maria/RS,2018
47101147215-6,F,Campinas do Sul,RS,1-Mestrado/Doutorado,1,Erechim/RS,2018
47101173142-4,F,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba/PR,2018
47101150999-3,M,Parobé,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101175685-6,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
47102173245-5,M,Serrania,MG,2-Autoavaliação,2,Poços de Caldas/MG,2018
47101174374-0,M,Marília,SP,1-Mestrado/Doutorado,1,Bauru/SP,2018
47101171638-0,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto/SP,2018
47101147901-9,M,São José,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101147161-0,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia/GO,2018
47101155607-0,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101146891-9,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101158666-8,F,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande/MS,2018
47101177104-7,M,Petrópolis,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101150822-9,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101145991-0,F,Santo André,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101151534-1,M,Campinas,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101160328-8,M,Alto Araguaia,MT,1-Mestrado/Doutorado,1,Jataí/GO,2018
47101174284-0,M,Presidente Epitácio,SP,1-Mestrado/Doutorado,1,Presidente Prudente/SP,2018
47101176111-9,M,Campinas,SP,1-Mestrado/Doutorado,1,Campinas/SP,2018
47101175776-5,M,Joinville,SC,1-Mestrado/Doutorado,1,Joinville/SC,2018
47101147984-4,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre/RS,2018
47101171336-8,M,Amarante,PI,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101160086-5,M,Brasília,DF,1-Mestrado/Doutorado,1,Brasília/DF,2018
47101157547-8,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina/PI,2018
47101171987-2,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz/MA,2018
47101175207-1,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz/MA,2018
47101172034-2,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas/RS,2018
47101159609-5,M,São João Del Rei,MG,1-Mestrado/Doutorado,1,Lavras/MG,2018
47101174157-9,M,Maringá,PR,1-Mestrado/Doutorado,1,Maringá/PR,2018
47101176246-0,M,Arequipa,OU,1-Mestrado/Doutorado,1,Arequipa/Peru,2018
47101150616-6,M,Paço do Lumiar,MA,1-Mestrado/Doutorado,1,São Luiz/MA,2018
47101174616-2,F,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia/MG,2018
47101147544-2,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101146215-0,F,São José da Mata -Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande/PB,2018
47102173587-0,M,Palmas,PR,2-Autoavaliação,2,Chapecó/SC,2018
47101146388-4,F,Belém,PA,1-Mestrado/Doutorado,1,Belém/PA,2018
47101146963-1,F,São Bernardo do Campo,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101176299-1,F,Cusco,OU,1-Mestrado/Doutorado,1,Arequipa/Peru,2018
47101174480-5,F,Blumenau,SC,1-Mestrado/Doutorado,1,Florianópolis/SC,2018
47101148254-5,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro/RJ,2018
47101173220-5,M,Barueri,SP,1-Mestrado/Doutorado,1,São Paulo/SP,2018
47101171799-6,M,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte/MG,2018
