INSCRICAO,SEXO,ESTADO,REGIAO,ESPECIALIDADE,PRESENTE DIA1,CARGO,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,ANO,IDADE
42101822903-7,M,AL,nordeste,computação visual,S,Mestrado/Doutorado,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2017,24
42101834778-8,M,SP,sudeste,sistemas distribuídos,S,Mestrado/Doutorado,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2017,31
42101832803-5,F,SE,nordeste,sistemas distribuídos,S,Mestrado/Doutorado,1.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2017,23
42101821577-9,M,RJ,sudeste,sistemas de informação,S,Mestrado/Doutorado,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,2017,23
42101812072-3,M,PA,norte,engenharia de software,S,Mestrado/Doutorado,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2017,28
42101809876-0,M,SC,sul,sistemas embarcados,S,Mestrado/Doutorado,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2017,27
42101833763-3,M,PB,nordeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2017,28
42101811453-0,F,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2017,23
42101833382-0,F,SP,sudeste,sistemas de computação,S,Mestrado/Doutorado,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,2017,28
42101831356-3,M,SE,nordeste,sistemas de informação,S,Mestrado/Doutorado,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,2017,31
42101834202-4,M,SP,sudeste,arquitetura de computadores,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2017,38
42101827337-0,M,MA,nordeste,arquitetura de computadores,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2017,25
42101833342-8,M,RS,sul,inteligência artificial,S,Mestrado/Doutorado,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2017,25
42101834285-0,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2017,21
42101831328-9,M,MA,nordeste,banco de dados,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2017,20
42101812651-0,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2017,20
42101809266-9,M,PI,nordeste,computação aplicada,S,Mestrado/Doutorado,2.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,3.0,3.0,0.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2017,30
42101809434-9,M,RS,sul,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2017,26
42101835870-1,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2017,28
42101821049-8,M,SP,sudeste,ciência de dados,S,Mestrado/Doutorado,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2017,26
42101834216-2,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,2017,22
42101810533-4,M,PA,norte,redes de computadores,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2017,23
42101830614-6,M,SP,sudeste,aprendizado de máquina,S,Mestrado/Doutorado,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,2017,20
42101812369-7,M,RS,sul,inteligência artificial,S,Mestrado/Doutorado,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,2017,23
42101830595-4,M,PR,sul,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2017,25
42101834814-6,M,PR,sul,engenharia de software,S,Mestrado/Doutorado,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2017,24
42101834952-6,M,SC,sul,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2017,21
42101832709-8,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2017,24
42101811096-3,M,SP,sudeste,ciência de dados,S,Mestrado/Doutorado,2.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,2017,28
42101835512-0,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2017,22
42101812155-4,M,RS,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2017,29
42101831389-8,M,MS,centro_oeste,sistemas de computação,S,Mestrado/Doutorado,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2017,21
42101810521-6,F,SP,sudeste,sistemas distribuídos,S,Mestrado/Doutorado,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2017,27
42101810418-0,M,MG,sudeste,otimização e inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2017,26
42101810206-8,M,GO,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2017,24
42101834396-5,M,MA,nordeste,arquitetura de computadores,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2017,27
42101810193-4,M,RJ,sudeste,ciência computacional,S,Mestrado/Doutorado,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2017,24
42101814024-5,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2017,24
42101826379-6,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,3.0,3.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,2017,23
42101815669-8,F,RS,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,3.0,3.0,1.0,0.0,2.0,2017,23
42101831276-2,M,MG,sudeste,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2017,30
42101831018-9,M,GO,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,2017,22
42101809374-4,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,2017,34
42101830053-5,M,MG,sudeste,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,2017,20
42101817214-0,M,SE,nordeste,engenharia de software,S,Mestrado/Doutorado,3.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,2017,25
42101834867-7,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2017,27
42101832155-5,M,MG,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2017,21
42101812187-9,M,SP,sudeste,tecnologia da informação,S,Mestrado/Doutorado,3.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0,2017,25
42101822239-0,M,RJ,sudeste,sistemas de informação,S,Mestrado/Doutorado,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,3.0,2017,22
42101817259-3,M,RJ,sudeste,aprendizado de máquina,S,Mestrado/Doutorado,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2017,22
42101821662-8,M,MG,sudeste,sistemas distribuídos,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2017,25
42101812056-7,M,CE,nordeste,ciência de dados,S,Mestrado/Doutorado,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2017,25
42101810296-1,F,CE,nordeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,2017,20
42101833972-6,M,MT,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2017,21
42101811501-6,F,CE,nordeste,ciência computacional,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2017,28
42101818574-8,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,2017,25
42101835551-3,M,SE,nordeste,ciência de dados,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2017,24
42101812361-7,M,PA,norte,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2017,20
42101810118-9,M,PR,sul,inteligência artificial,S,Mestrado/Doutorado,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2017,22
42101835101-3,M,CE,nordeste,sistemas de informação,S,Mestrado/Doutorado,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2017,21
42101809543-4,M,MG,sudeste,banco de dados,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2017,25
42101831651-5,M,RS,sul,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2017,24
42101809440-7,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2017,22
42101834192-0,M,CE,nordeste,sistemas de informação,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,2017,25
42101834490-2,M,MG,sudeste,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,2017,24
42101810309-5,M,PA,norte,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,2017,26
42101834195-0,M,MA,nordeste,arquitetura de computadores,S,Mestrado/Doutorado,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2017,23
42101812207-0,M,SE,nordeste,engenharia de software,S,Mestrado/Doutorado,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2017,23
42101821298-3,M,PB,nordeste,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2017,23
42101831211-3,M,SP,sudeste,aprendizado de máquina,S,Mestrado/Doutorado,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2017,23
42101823189-0,M,PI,nordeste,computação aplicada,S,Mestrado/Doutorado,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2017,23
42101809297-3,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2017,21
42101829772-4,M,MT,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2017,23
42101824205-9,M,PA,norte,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2017,22
42101834599-0,M,CE,nordeste,sistemas de informação,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2017,33
42101830885-8,F,MS,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2017,21
42101811053-0,F,PA,norte,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2017,32
42101826465-5,M,PA,norte,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2017,28
42101833812-0,M,PI,nordeste,sistemas de computação,S,Mestrado/Doutorado,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2017,22
42101812657-0,M,PI,nordeste,computação aplicada,S,Mestrado/Doutorado,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2017,23
42101810612-5,M,RS,sul,inteligência artificial,S,Mestrado/Doutorado,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,2017,26
42101824596-4,F,MS,centro_oeste,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2017,23
42101835674-7,F,RJ,sudeste,sistemas de informação,S,Mestrado/Doutorado,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2017,26
42101809584-7,F,MG,sudeste,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,2017,24
42101831748-4,F,GO,centro_oeste,sistemas de computação,S,Mestrado/Doutorado,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2017,24
42101822380-9,F,SP,sudeste,ciência de dados,S,Mestrado/Doutorado,3.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2017,32
42101827390-9,F,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2017,24
42101809470-1,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2017,33
42101825704-1,F,RS,sul,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,2017,20
42101810015-1,F,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2017,27
42101832344-1,F,SP,sudeste,sistemas inteligentes,S,Mestrado/Doutorado,3.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,2017,25
42101830823-9,F,RS,sul,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,2017,23
42101827233-2,M,PR,sul,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,2017,23
42101811415-7,M,CE,nordeste,sistemas de informação,S,Mestrado/Doutorado,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2017,24
42101821676-6,M,PA,norte,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2017,24
